LAT,LON,YEAR,MONTH,DAY,HHMM,MSLP,INTENSITY,STORMTYPE,SS
16.1,-26.9,2017,AUG,30,0,1008,30,Tropical Depression,0
16.2,-28.3,2017,AUG,30,600,1007,35,Tropical Storm,0
16.3,-29.7,2017,AUG,30,1200,1006,45,Tropical Storm,0
16.3,-30.8,2017,AUG,30,1800,1004,50,Tropical Storm,0
16.3,-31.7,2017,AUG,31,0,999,55,Tropical Storm,0
16.4,-32.5,2017,AUG,31,600,994,65,Hurricane1,1
16.7,-33.4,2017,AUG,31,1200,983,80,Hurricane1,1
17.1,-34.2,2017,AUG,31,1800,970,95,Hurricane2,2
17.5,-35.1,2017,SEP,1,0,967,100,Hurricane3,3
17.9,-36.1,2017,SEP,1,600,967,100,Hurricane3,3
18.4,-37.3,2017,SEP,1,1200,967,100,Hurricane3,3
18.8,-38.5,2017,SEP,1,1800,967,100,Hurricane3,3
19.1,-39.7,2017,SEP,2,0,967,100,Hurricane3,3
19.1,-41.1,2017,SEP,2,600,967,100,Hurricane3,3
18.9,-42.6,2017,SEP,2,1200,973,95,Hurricane2,2
18.7,-44.1,2017,SEP,2,1800,973,95,Hurricane2,2
18.5,-45.5,2017,SEP,3,0,973,95,Hurricane2,2
18.2,-46.7,2017,SEP,3,600,973,95,Hurricane2,2
17.9,-47.9,2017,SEP,3,1200,969,100,Hurricane3,3
17.6,-49.2,2017,SEP,3,1800,965,100,Hurricane3,3
17.3,-50.4,2017,SEP,4,0,959,100,Hurricane3,3
17,-51.5,2017,SEP,4,600,952,105,Hurricane3,3
16.8,-52.6,2017,SEP,4,1200,945,110,Hurricane3,3
16.7,-53.9,2017,SEP,4,1800,944,115,Hurricane4,4
16.6,-55.1,2017,SEP,5,0,943,125,Hurricane4,4
16.6,-56.4,2017,SEP,5,600,933,135,Hurricane4,4
16.7,-57.8,2017,SEP,5,1200,929,150,Hurricane5,5
16.9,-59.2,2017,SEP,5,1800,926,155,Hurricane5,5
17.3,-60.6,2017,SEP,6,0,915,155,Hurricane5,5
17.7,-61.8,2017,SEP,6,500,914,155,Hurricane5,5
17.7,-61.9,2017,SEP,6,600,914,155,Hurricane5,5
18.1,-63.1,2017,SEP,6,1100,914,155,Hurricane5,5
18.1,-63.3,2017,SEP,6,1200,915,155,Hurricane5,5
18.5,-64.4,2017,SEP,6,1600,915,155,Hurricane5,5
18.6,-64.7,2017,SEP,6,1800,916,150,Hurricane5,5
19.2,-66.2,2017,SEP,7,0,916,150,Hurricane5,5
19.7,-67.6,2017,SEP,7,600,920,145,Hurricane5,5
20.2,-69,2017,SEP,7,1200,921,145,Hurricane5,5
20.7,-70.4,2017,SEP,7,1800,922,145,Hurricane5,5
21.1,-71.8,2017,SEP,8,0,919,140,Hurricane5,5
21.5,-73,2017,SEP,8,500,924,135,Hurricane4,4
21.5,-73.2,2017,SEP,8,600,925,135,Hurricane4,4
21.8,-74.7,2017,SEP,8,1200,927,135,Hurricane4,4
22,-76,2017,SEP,8,1800,925,140,Hurricane5,5
22.1,-77.2,2017,SEP,9,0,924,145,Hurricane5,5
22.3,-77.9,2017,SEP,9,300,924,145,Hurricane5,5
22.4,-78.3,2017,SEP,9,600,930,130,Hurricane4,4
22.7,-79.3,2017,SEP,9,1200,941,110,Hurricane3,3
23.1,-80.2,2017,SEP,9,1800,938,95,Hurricane2,2
23.4,-80.9,2017,SEP,10,0,932,100,Hurricane3,3
23.7,-81.3,2017,SEP,10,600,930,115,Hurricane4,4
24.5,-81.5,2017,SEP,10,1200,931,115,Hurricane4,4
24.7,-81.5,2017,SEP,10,1300,931,115,Hurricane4,4
25.6,-81.7,2017,SEP,10,1800,936,100,Hurricane3,3
25.9,-81.7,2017,SEP,10,1900,936,100,Hurricane3,3
26.8,-81.7,2017,SEP,11,0,942,80,Hurricane1,1
28.2,-82.2,2017,SEP,11,600,961,65,Hurricane1,1
29.6,-82.7,2017,SEP,11,1200,970,50,Tropical Storm,0
30.9,-83.5,2017,SEP,11,1800,980,45,Tropical Storm,0
31.9,-84.4,2017,SEP,12,0,986,35,Tropical Storm,0
32.9,-85.6,2017,SEP,12,600,997,25,Low,0
33.8,-86.9,2017,SEP,12,1200,1000,20,Low,0
34.8,-88.1,2017,SEP,12,1800,1003,15,Low,0
35.6,-88.9,2017,SEP,13,0,1004,15,Low,0
36.2,-89.5,2017,SEP,13,600,1004,15,Low,0
36.8,-90.1,2017,SEP,13,1200,1005,15,Low,0
